date,signal,active_markets,total_volume
2025-08-27,0.2690172727272727,11,5500.0
2025-08-28,0.2698454545454545,11,5500.0
2025-08-29,0.26818363636363635,11,5500.0
2025-08-30,0.2709618181818182,11,5500.0
2025-08-31,0.27056545454545455,11,5500.0
2025-09-01,0.27033363636363633,11,5500.0
2025-09-02,0.2727027272727273,11,5500.0
2025-09-03,0.2734172727272727,11,5500.0
2025-09-04,0.26819000000000004,11,5500.0
2025-09-05,0.2736809090909091,11,5500.0
2025-09-06,0.27014272727272726,11,5500.0
2025-09-07,0.2704245454545455,11,5500.0
2025-09-08,0.2694109090909091,11,5500.0
2025-09-09,0.2720618181818182,11,5500.0
2025-09-10,0.27152545454545457,11,5500.0
2025-09-11,0.27193545454545454,11,5500.0
2025-09-12,0.20555875,16,8000.0
2025-09-13,0.20378937500000002,16,8000.0
2025-09-14,0.20133218750000004,16,8000.0
2025-09-15,0.20171187499999998,16,8000.0
2025-09-16,0.20183968749999998,16,8000.0
2025-09-17,0.20295875,16,8000.0
2025-09-18,0.20282468750000002,16,8000.0
2025-09-19,0.2013084375,16,8000.0
2025-09-20,0.2031765625,16,8000.0
2025-09-21,0.201179375,16,8000.0
2025-09-22,0.20179499999999997,16,8000.0
2025-09-23,0.20299406249999996,16,8000.0
2025-09-24,0.20163156249999997,16,8000.0
2025-09-25,0.20147843750000002,16,8000.0
2025-09-26,0.4133576086956522,23,11500.0
2025-09-27,0.20787565217391302,23,11500.0
2025-09-28,0.20928021739130434,23,11500.0
2025-09-29,0.21006478260869568,23,11500.0
2025-09-30,0.2106813043478261,23,11500.0
2025-10-01,0.2104423913043478,23,11500.0
2025-10-02,0.20908978260869568,23,11500.0
2025-10-03,0.20878500000000003,23,11500.0
2025-10-04,0.20173195652173914,23,11500.0
2025-10-05,0.21173,23,11500.0
2025-10-06,0.212565,23,11500.0
2025-10-07,0.21051086956521736,23,11500.0
2025-10-08,0.20942239130434784,23,11500.0
2025-10-09,0.20720413043478259,23,11500.0
2025-10-10,0.19101999999999997,23,11500.0
2025-10-11,0.25562869565217383,23,11500.0
2025-10-12,0.25479652173913037,23,11500.0
2025-10-13,0.2495904347826087,23,11500.0
2025-10-14,0.20773239130434784,23,11500.0
2025-10-15,0.21092978260869572,23,11500.0
2025-10-16,0.21502760869565218,23,11500.0
2025-10-17,0.21085173913043476,23,11500.0
2025-10-18,0.21061999999999997,23,11500.0
2025-10-19,0.2123989130434783,23,11500.0
2025-10-20,0.2116776086956521,23,11500.0
2025-10-21,0.21072043478260868,23,11500.0
2025-10-22,0.20966260869565212,23,11500.0
