question,volume,included_in_signal,slug,source_file
Will Boris Johnson be next UK prime minister?,218153.837968,False,will-boris-johnson-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Israel's Ben Gurion Airport reopen before July?,217115.230204,False,will-israels-ben-gurion-airport-reopen-before-july,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Dilan Yeşilgöz-Zegerius become the next Prime Minister of the Netherlands?,216624.517254,False,will-dilan-yeilgz-zegerius-become-the-next-prime-minister-of-the-netherlands,_manifest_geopolitics__foreign_policy_comprehensive.csv
NATO article 5 in 2025?,214811.438187,False,nato-article-5-in-2025-763,_manifest_geopolitics__foreign_policy_comprehensive.csv
U.S. evacuates Baghdad Embassy before July?,213428.092094,False,us-evacuates-baghdad-embassy-before-july,_manifest_geopolitics__foreign_policy_comprehensive.csv
India x Pakistan ceasefire announced before June?,213244.588587,False,india-x-pakistan-ceasefire-announced-before-june,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Lee Jun-seok be arrested by August 31?,212340.669479,False,will-lee-jun-seok-be-arrested-by-august-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Japan prime minister Ishiba out by September 30?,205885.93322,False,japan-prime-minister-ishiba-out-by-september-30,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Workers' Party (WP) win the 2025 Singapore parliamentary election?,204958.980323,False,will-workers-party-wp-win-the-2025-singapore-parliamentary-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will James Cleverly be next UK prime minister?,204562.314493,False,will-james-cleverly-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Lazarus Chakwera win the 2025 Malawi presidential election?,191893.263957,False,will-lazarus-chakwera-win-the-2025-malawi-presidential-election-164,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Myrnohard by December 31?,189916.072855,False,will-russia-capture-myrnohard-by-december-31-368,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Grant Shapps be next UK prime minister?,187927.368827,False,will-grant-shapps-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Polish snap election called in 2025?,183062.195681,False,polish-snap-election-called-in-2025,_manifest_geopolitics__foreign_policy_comprehensive.csv
Sánchez resigns as PM of Spain before March?,179920.033387,False,sanchez-resigns-as-president-of-spain-before-march,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Peter Mutharika win the 2025 Malawi presidential election?,177766.60376,False,will-peter-mutharika-win-the-2025-malawi-presidential-election-439,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Rishi Sunak be next UK prime minister?,177517.850041,False,will-rishi-sunak-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Hwang Kyo-ahn be elected the next president of South Korea?,176905.0,False,will-hwang-kyo-ahn-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Jeremy Hunt be next UK prime minister?,176795.403542,False,will-jeremy-hunt-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Penny Mordaunt be next UK prime minister?,174546.970666,False,will-penny-mordaunt-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will People's Action Party (PAP) win the 2025 Singapore parliamentary election?,171261.24232,False,will-peoples-action-party-pap-win-the-2025-singapore-parliamentary-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Myrnohard by October 31?,170583.585736,False,will-russia-capture-myrnohard-by-october-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Priti Patel be next UK prime minister?,168878.017164,False,will-priti-patel-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kim Dong-yeon win 2nd place in the South Korean presidential election?,166643.1125,False,will-kim-dong-yeon-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Austria join NATO by December 31?,164436.418533,False,will-austria-join-nato-by-december-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will new pope be 70+ years old?,163106.201147,False,will-new-pope-be-70-years-old,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Dr Patrick Herminie win the 2025 Seychelles presidential election?,157339.602208,False,will-dr-patrick-herminie-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the EU impose new tariffs on US goods in 2025?,156404.78604,False,will-the-eu-impose-new-tariffs-on-us-goods-in-2025,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the next pop be elected in 2 days?,150719.329846,False,will-the-next-pop-be-elected-in-2-days,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Tom Tugendhat be next UK prime minister?,147509.116827,False,will-tom-tugendhat-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kemi Badenoch be next UK prime minister?,138971.315327,False,will-kemi-badenoch-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Robert Jenrick be next UK prime minister?,137462.771333,False,will-robert-jenrick-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kwon Yeong-guk be elected the next president of South Korea?,135210.0,False,will-kwon-yeong-guk-be-elected-the-next-president-of-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
Israel and Saudi Arabia normalize relations before U.S. election?,133184.532627,False,israel-and-saudi-arabia-normalize-relations-before-us-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will another person be next UK prime minister?,132572.789741,False,will-another-person-be-next-uk-prime-minister,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will The Greens win the Seat of Brisbane in the 2025 Australian Election?,129527.591382,False,will-the-greens-win-the-seat-of-brisbane-in-the-2025-australian-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
More EU sanctions on Russia by September 30?,127501.802681,False,more-eu-sanctions-on-russia-by-september-30,_manifest_geopolitics__foreign_policy_comprehensive.csv
New Netherlands election announced before Summer Recess?,125110.173606,False,new-netherlands-election-announced-before-summer-recess,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Hong Joon-pyo win 2nd place in the South Korean presidential election?,114566.8245,False,will-hong-joon-pyo-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
EU sanctions on Iran by September 30? ,114009.682716,False,eu-sanctions-on-iran-by-september-30,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Quiroga and Rodríguez advance to the Bolivian presidential runoff?,110933.316113,False,will-quiroga-and-rodrguez-advance-to-the-bolivian-presidential-runoff,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Ahn Cheol-soo win 2nd place in the South Korean presidential election?,100758.5655,False,will-ahn-cheol-soo-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Frans Timmermans become the next Prime Minister of the Netherlands?,97380.307655,False,will-frans-timmermans-become-the-next-prime-minister-of-the-netherlands,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Yoo Seong-min win 2nd place in the South Korean presidential election?,96810.1935,False,will-yoo-seong-min-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Ukraine hits Moscow by September 30?,95070.498725,False,ukraine-hits-moscow-by-september-30,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Novopavlivka by September 30?,91635.902419,False,will-russia-capture-novopavlivka-by-september-30,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Novopavlivka by October 31?,90871.173456,False,will-russia-capture-novopavlivka-by-october-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the next pop be elected in 1 day?,87497.175472,False,will-the-next-pop-be-elected-in-1-day,_manifest_geopolitics__foreign_policy_comprehensive.csv
Iran nuclear test in 2025?,86311.870917,False,iran-nuclear-test-in-2025,_manifest_geopolitics__foreign_policy_comprehensive.csv
More EU sanctions on Russia by October 31?,82015.673896,False,more-eu-sanctions-on-russia-by-october-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Ukraine hits Moscow by August 31?,80865.331022,False,ukraine-hits-moscow-by-august-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
North Korea missile test by July 15?,76372.667623,False,north-korea-missile-test-by-july-15,_manifest_geopolitics__foreign_policy_comprehensive.csv
North Korea missile test before May?,73316.637901,False,north-korea-missile-test-before-may-25,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Yoon Suk Yeol win 2nd place in the South Korean presidential election?,72962.994833,False,will-yoon-suk-yeol-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Trump increase tariffs on China by Friday?,72639.859769,False,will-trump-increase-tariffs-on-china-by-friday,_manifest_geopolitics__foreign_policy_comprehensive.csv
Azerbaijan x Armenia peace deal in 2025?,72529.501622,False,azerbaijan-x-armenia-peace-deal-in-2025,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kisna Louise win the 2025 Seychelles presidential election?,72050.84705,False,will-kisna-louise-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Joe Biden attend Pope Francis' funeral?,71956.338345,False,will-joe-biden-attend-pope-francis-funeral,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will CDP hold the second most seats in the House of Councillors following the 2025 Japan election?,71930.355117,False,will-cdp-hold-the-second-most-seats-in-the-house-of-councillors-following-the-2025-japan-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
"Will Poilievre say ""Tariffs"" 3+ times during Canadian Election Debate on April 17?",70121.989819,False,will-poilievre-say-tariffs-3-times-during-canadian-election-debate-on-april-17,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Alain St Ange win the 2025 Seychelles presidential election?,70065.263501,False,will-alain-st-ange-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Rodríguez and Medina advance to the Bolivian presidential runoff?,68874.816989,False,will-rodrguez-and-medina-advance-to-the-bolivian-presidential-runoff,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Na Kyung-won win 2nd place in the South Korean presidential election?,68774.3995,False,will-na-kyung-won-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Thailand capture Preah Vihear temple by July 31?,67810.608125,False,will-thailand-capture-of-preah-vihear-temple-by-july-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
"Will Poilievre say ""Trump"" 3+ times during Canadian Election Debate on April 17?",66875.53055,False,will-poilievre-say-trump-3-times-during-canadian-election-debate-on-april-17,_manifest_geopolitics__foreign_policy_comprehensive.csv
South Korea election scheduled by Friday?,66313.73388,False,south-korea-election-scheduled-by-friday,_manifest_geopolitics__foreign_policy_comprehensive.csv
"U.S. agrees to a new trade deal with ""South Korea""?",65770.511918,False,us-agrees-to-a-new-trade-deal-with-south-korea,_manifest_geopolitics__foreign_policy_comprehensive.csv
"Will Poilievre say ""Canada First"" during Canadian Election Debate on April 17?",65497.19787,False,will-poilievre-say-canada-first-during-canadian-election-debate-on-april-17,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will valid votes be fewer than 5.8 million in Bolivia election?,64393.604428,False,will-valid-votes-be-fewer-than-5pt8-million-in-bolivia-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Charles De Clarisse win the 2025 Seychelles presidential election?,63488.026508,False,will-charles-de-clarisse-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Italian small businesses – dismissals and related compensation referendum,62986.130603,False,italian-small-businesses-dismissals-and-related-compensation-referendum,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will EU increase sanctions on Russia before July?,62552.175205,False,will-eu-increase-sanctions-on-russia-before-july,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Won Hee-ryong win 2nd place in the South Korean presidential election?,61530.1277,False,will-won-hee-ryong-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Ukraine hits Moscow by December 31?,60845.335276,False,ukraine-hits-moscow-by-december-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Ralph Volcère win the 2025 Seychelles presidential election?,60082.702563,False,will-ralph-volcre-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Cho Kuk win 2nd place in the South Korean presidential election?,59571.6805,False,will-cho-kuk-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Oh Se-hoon win 2nd place in the South Korean presidential election?,59368.0465,False,will-oh-se-hoon-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the Netherlands government fall before Summer Recess?,58676.377626,False,will-the-netherlands-government-fall-before-summer-recess,_manifest_geopolitics__foreign_policy_comprehensive.csv
Italian Citizenship Residency Requirement Referendum,58501.752554,False,italian-citizenship-residency-requirement-referendum,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Myrnohard by November 30?,58132.84895,False,will-russia-capture-myrnohard-by-november-30,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Robin Johnston win the 2025 Seychelles presidential election?,57409.679761,False,will-robin-johnston-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
"Will Poilievre say ""Elon"" or ""Musk"" during Canadian Election Debate on April 17?",55463.613038,False,will-poilievre-say-elon-or-musk-during-canadian-election-debate-on-april-17,_manifest_geopolitics__foreign_policy_comprehensive.csv
China bans US films in April?,54774.352375,False,china-bans-us-films-in-april,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will PAP win less than 75 seats in the Singapore election?,54387.062141,False,will-pap-win-less-than-75-seats-in-the-singapore-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the next pop be elected in 7 or more days?,54371.240397,False,will-the-next-pop-be-elected-in-7-or-more-days,_manifest_geopolitics__foreign_policy_comprehensive.csv
"Will Carney say ""Immigration"" 3+ times during Canadian Election Debate on April 17?",54169.486637,False,will-carney-say-immigration-3-times-during-canadian-election-debate-on-april-17,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kim Kyong-soo win 2nd place in the South Korean presidential election?,53192.282817,False,will-kim-kyong-soo-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Spain snap election called in 2025?,53033.640189,False,spain-snap-election-called-in-2025,_manifest_geopolitics__foreign_policy_comprehensive.csv
Trump x Xi talk before June?,52975.52629,False,trump-x-xi-talk-before-june,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Suez Canal traffic recover to pre-Houthi levels before September?,52454.171006,False,will-suez-canal-traffic-recover-to-pre-houthi-levels-before-september,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Robert Moumou win the 2025 Seychelles presidential election?,52264.502312,False,will-robert-moumou-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Paetongtarn Shinawatra out as Prime Minister of Thailand in July?,51926.857911,False,paetongtarn-shinawatra-out-as-prime-minister-of-thailand-in-july-859,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the Bank of Canada announce no change at the July meeting?,51091.50948,False,will-the-bank-of-canada-announce-no-change-at-the-july-meeting,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will valid votes be more than 6.2 million in Bolivia election?,49911.128861,False,will-valid-votes-be-more-than-6pt2-million-in-bolivia-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Joyce Banda win the 2025 Malawi presidential election?,49574.23734,False,will-joyce-banda-win-the-2025-malawi-presidential-election-739,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the next pop be elected in 5 days?,48709.813445,False,will-the-next-pop-be-elected-in-5-days,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Kim Boo-kyum win 2nd place in the South Korean presidential election?,47988.4685,False,will-kim-boo-kyum-win-2nd-place-in-the-south-korean-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Paetongtarn Shinawatra out as PM of Thailand by December 31?,47932.477333,False,paetongtarn-shinawatra-out-as-pm-of-thailand-by-december-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Atupele Muluzi win the 2025 Malawi presidential election?,47697.97624,False,will-atupele-muluzi-win-the-2025-malawi-presidential-election-619,_manifest_geopolitics__foreign_policy_comprehensive.csv
"U.S. agrees to a new trade deal with ""European Union""?",46312.632353,False,us-agrees-to-a-new-trade-deal-with-european-union,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Rob Jetten become the next Prime Minister of the Netherlands?,46200.16712,False,will-rob-jetten-become-the-next-prime-minister-of-the-netherlands,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Dalitso Kabame win the 2025 Malawi presidential election?,44535.105182,False,will-dalitso-kabame-win-the-2025-malawi-presidential-election-138,_manifest_geopolitics__foreign_policy_comprehensive.csv
North Korea missile test by August 31?,43152.26629,False,north-korea-missile-test-by-august-31-873,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Donald Trump attend Pope Francis' funeral?,43041.506676,False,will-donald-trump-attend-pope-francis-funeral,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Russia capture Drobysheve by October 31?,42661.058579,False,will-russia-capture-drobysheve-by-october-31,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Enoch Chihana win the 2025 Malawi presidential election?,41259.08266,False,will-enoch-chihana-win-the-2025-malawi-presidential-election-382,_manifest_geopolitics__foreign_policy_comprehensive.csv
North Korea missile test by June 30?,40887.929503,False,north-korea-missile-test-by-june-30,_manifest_geopolitics__foreign_policy_comprehensive.csv
"U.S. agrees to a new trade deal with ""Canada""?",40681.676048,False,us-agrees-to-a-new-trade-deal-with-canada,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will voter turnout in the 2025 Canadian federal election be between 17-18m?,40129.839646,False,will-voter-turnout-in-the-2025-canadian-federal-election-be-between-17-18m,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Ahmed Aboutaleb become the next Prime Minister of the Netherlands?,39081.897411,False,will-ahmed-aboutaleb-become-the-next-prime-minister-of-the-netherlands,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Netanyahu meet with Ahmed al-Sharaa before August? ,38597.255192,False,netanyahu-meeting-with-al-sharaa-by-august,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the next pop be elected in 4 days?,38573.628075,False,will-the-next-pop-be-elected-in-4-days,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Danny Faure win the 2025 Seychelles presidential election?,37880.08031,False,will-danny-faure-win-the-2025-seychelles-presidential-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will voter turnout in the 2025 Canadian federal election be between 20-21m?,37697.322903,False,will-voter-turnout-in-the-2025-canadian-federal-election-be-between-20-21m,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Trump meet with Zelenskyy before August?,37445.560039,False,will-trump-meet-with-zelenskyy-before-august,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the next pop be elected in 6 days?,36973.433854,False,will-the-next-pop-be-elected-in-6-days,_manifest_geopolitics__foreign_policy_comprehensive.csv
"Italian solidary responsibility of the client, contractor, and subcontractor for injuries  referendum",36870.380276,False,italian-solidary-responsibility-of-the-client-contractor-and-subcontractor-for-injuries-referendum,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will Caroline van der Plas become the next Prime Minister of the Netherlands?,36544.300166,False,will-caroline-van-der-plas-become-the-next-prime-minister-of-the-netherlands,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will PAP win between 87 and 89 seats in the Singapore election?,35543.759584,False,will-pap-win-between-87-and-89-seats-in-the-singapore-election,_manifest_geopolitics__foreign_policy_comprehensive.csv
Will the next pop be elected in 3 days?,35182.609489,False,will-the-next-pop-be-elected-in-3-days,_manifest_geopolitics__foreign_policy_comprehensive.csv
